,supermercado,categoria,subcategoria,nombre,cantidad,unidad,url_historico,id
0,mercadona,Aceite Girasol,Aceite Girasol,"Aceite De Girasol Refinado 0,2º Hacendado",1,l,https://super.facua.org/mercadona/aceite-de-girasol/aceite-de-girasol-refinado-02-hacendado-1-l/,0
1,mercadona,Aceite Girasol,Aceite Girasol,"Aceite De Girasol Refinado 0,2º Hacendado",5,l,https://super.facua.org/mercadona/aceite-de-girasol/aceite-de-girasol-refinado-02-hacendado-5-l/,1
2,mercadona,Aceite Oliva,Suave e Intenso,Aceite De Oliva Intenso Hacendado,3,l,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-intenso-hacendado-garrafa-3-l/,2
3,mercadona,Aceite Oliva,Suave e Intenso,Aceite De Oliva Suave Hacendado,3,l,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-suave-hacendado-garrafa-3-l/,3
4,mercadona,Aceite Oliva,Virgen,Aceite De Oliva Virgen Hacendado,1,l,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-hacendado-botella-1-l/,4
5,mercadona,Aceite Oliva,Virgen,Aceite De Oliva Virgen Hacendado,3,l,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-hacendado-garrafa-3-l/,5
6,mercadona,Aceite Oliva,Virgen Extra,Aceite De Oliva Virgen Extra Hacendado,0.2,l,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-spray-200-ml/,6
7,mercadona,Aceite Oliva,Virgen Extra,Aceite De Oliva Virgen Extra Hacendado,1,l,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-botella-1-l/,7
8,mercadona,Aceite Oliva,Virgen Extra,Aceite De Oliva Virgen Extra Hacendado,3,l,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-garrafa-3-l/,8
9,mercadona,Aceite Oliva,Virgen Extra,Aceite De Oliva Virgen Extra Hacendado Gran Selección,0.75,l,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-gran-seleccion-botella-750-ml/,9
